Time to split: 3.4559125900268555
Time to merge: 19.720922708511353
Total time: 23.17688775062561
lastWrittenSplit: 22
File successfully sorted
         8396902 function calls (8396841 primitive calls) in 25.097 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
        1    0.000    0.000    0.000    0.000 threading.py:203(Condition)
       39    0.000    0.000    0.000    0.000 threading.py:215(__init__)
       36    0.000    0.000    0.000    0.000 threading.py:239(__enter__)
       36    0.000    0.000    0.000    0.000 threading.py:242(__exit__)
       35    0.000    0.000    0.000    0.000 threading.py:248(_release_save)
       35    0.000    0.000    0.000    0.000 threading.py:251(_acquire_restore)
       36    0.000    0.000    0.000    0.000 threading.py:254(_is_owned)
       35    0.000    0.000    0.252    0.007 threading.py:263(wait)
        1    0.000    0.000    0.000    0.000 threading.py:334(notify)
        1    0.000    0.000    0.000    0.000 threading.py:357(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:369(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:449(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:487(Event)
       36    0.000    0.000    0.001    0.000 threading.py:498(__init__)
       70    0.000    0.000    0.000    0.000 threading.py:506(is_set)
        1    0.000    0.000    0.000    0.000 threading.py:512(set)
       35    0.000    0.000    0.252    0.007 threading.py:533(wait)
        1    0.000    0.000    0.000    0.000 threading.py:566(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:720(BrokenBarrierError)
       35    0.000    0.000    0.000    0.000 threading.py:727(_newname)
        1    0.000    0.000    0.000    0.000 threading.py:738(Thread)
       36    0.000    0.000    0.002    0.000 threading.py:757(__init__)
       35    0.000    0.000    0.254    0.007 threading.py:828(start)
        1    0.000    0.000    0.000    0.000 threading.py:87(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:890(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:893(_set_tstate_lock)
       35    0.000    0.000    0.000    0.000 threading.py:966(_stop)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       20    0.000    0.000    0.000    0.000 tokenize.py:112(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:113(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:114(maybe)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:217(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:219(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:222(Untokenizer)
        1    0.000    0.000    0.000    0.000 tokenize.py:99(TokenInfo)
        1    0.000    0.000    0.008    0.008 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:223(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:310(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:426(TracebackException)
        6    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       21    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.013    0.013    0.013    0.013 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       28    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
       87    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       85    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       35    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
       25    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      8/1    0.000    0.000   25.097   25.097 {built-in method builtins.exec}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       57    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      218    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
2797379/2797373    0.226    0.000    0.226    0.000 {built-in method builtins.len}
       37    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       77    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       72    0.004    0.000    0.004    0.000 {built-in method io.open}
        6    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       19    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       14    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.182    0.182    0.182    0.182 {built-in method posix.rename}
       35    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        5    0.000    0.000    0.000    0.000 {built-in method time.time}
        6    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       36    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       36    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      177   19.716    0.111   19.716    0.111 {method 'acquire' of '_thread.lock' objects}
      213    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       35    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
   699505    0.052    0.000    0.052    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       70    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      218    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       35    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
   699307    0.196    0.000    0.196    0.000 {method 'pack' of 'Struct' objects}
  1398616    0.537    0.000    0.537    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.020    0.003    0.020    0.003 {method 'read' of '_io.FileIO' objects}
       70    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      236    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       70    0.246    0.004    0.246    0.004 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
  2097919    0.740    0.000    0.740    0.000 {method 'unpack' of 'Struct' objects}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
   699307    0.420    0.000    0.420    0.000 {method 'write' of '_io.BufferedWriter' objects}


